2025-12-06 20:34:40 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:41 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:43 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:44 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:34:44 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:46 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:47 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:49 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2079
2025-12-06 20:34:49 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:34:50 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:52 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:53 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:54 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:34:55 | INFO     | django.server | "HEAD /api/dashboard/ HTTP/1.1" 200 0
2025-12-06 20:34:55 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:56 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:58 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:59 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:34:59 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:01 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:35:02 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:35:03 | INFO     | django.server | "GET /api/dashboard/ HTTP/1.1" 200 59620
2025-12-06 20:35:04 | INFO     | django.server | "GET /static/css/dashboard.css HTTP/1.1" 304 0
2025-12-06 20:35:04 | INFO     | django.server | "GET /static/css/common.css HTTP/1.1" 304 0
2025-12-06 20:35:04 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2077
2025-12-06 20:35:04 | INFO     | django.server | "POST /api/iot-data/ HTTP/1.1" 201 56
2025-12-06 20:35:05 | INFO     | django.server | "GET /api/api/dashboard-data/ HTTP/1.1" 200 2073
2025-12-06 20:35:05 | INFO     | django.server | "GET /api/hardware/ HTTP/1.1" 200 9067
2025-12-06 20:35:06 | INFO     | django.server | "GET /static/js/utils.js HTTP/1.1" 304 0
2025-12-06 20:35:06 | INFO     | django.server | "GET /static/js/hardware.js HTTP/1.1" 304 0
